step,A_hat,B_hat
exc_1,[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]],[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
exc_15,[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]],[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
exc_16,[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]],[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
exc_17,[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]],[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
exc_18,[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]],[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
exc_19,[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]],[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
exc_20,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_21,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_22,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_23,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_24,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_25,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_26,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_27,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_28,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_29,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_30,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_31,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_32,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_33,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_34,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_35,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_36,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_37,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_38,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_39,[[0.09999999999999984, 1.8421890982374153e-17, 0.010000000000000142, -5.3728691449935916e-17], [5.221885390879701e-17, 0.10000000000000003, -3.012486363835468e-17, 0.010000000000000007], [-4.581886291385882e-16, 1.0372512520585217e-16, 0.10000000000000034, -1.3699962041180122e-16], [-5.953196614334398e-16, -3.148845482584498e-16, -1.0610047784827889e-16, 0.1]],[[0.0005000000000000193, -3.9740951715408026e-18], [9.601108595082652e-18, 0.000499999999999999], [0.009999999999999995, 6.738171899780684e-18], [-3.2599524392714915e-17, 0.009999999999999998]]
exc_40,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_41,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_42,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_43,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_44,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_45,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_46,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_47,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_48,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_49,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_50,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_51,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_52,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_53,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_54,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_55,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_56,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_57,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
exc_58,[[0.19000000000000433, 2.845318425910165e-15, 0.019000000000001176, 1.9674689872941966e-15], [1.135561875719531e-15, 0.19000000000000078, -1.9558689941439562e-16, 0.019000000000000322], [-4.487145292047973e-16, 9.28907136639335e-17, 0.1900000000000002, -2.4274334040987617e-16], [-8.257385764550738e-16, -4.612320476048791e-16, -2.249779802995451e-16, 0.18999999999999986]],[[0.0009499999999999372, 1.277817213685336e-16], [-1.3054846330473872e-17, 0.0009499999999999977], [0.018999999999999982, -1.2180320904497975e-17], [-4.8071840630906706e-17, 0.018999999999999975]]
